,symbol
0,A
1,AA
2,AAC
3,AACG
4,AACQ
5,AACQU
6,AACQW
7,AAIC
8,AAL
9,AAMC
10,AAME
11,AAN
12,AAOI
13,AAON
14,AAP
15,AAPL
16,AAT
17,AAU
18,AAWW
19,AB
20,ABB
21,ABBV
22,ABC
23,ABCB
24,ABCL
25,ABCM
26,ABEO
27,ABEV
28,ABG
29,ABGI
30,ABIO
31,ABM
32,ABMD
33,ABNB
34,ABR
35,ABST
36,ABT
37,ABTX
38,ABUS
39,AC
40,ACA
41,ACAC
42,ACACU
43,ACACW
44,ACAD
45,ACAHU
46,ACB
47,ACBAU
48,ACBI
49,ACC
50,ACCD
51,ACCO
52,ACEL
53,ACER
54,ACET
55,ACEV
56,ACEVU
57,ACEVW
58,ACGL
59,ACGLO
60,ACGLP
61,ACH
62,ACHC
63,ACHL
64,ACHV
65,ACI
66,ACIC
67,ACII
68,ACIU
69,ACIW
70,ACKIT
71,ACKIU
72,ACKIW
73,ACLS
74,ACM
75,ACMR
76,ACN
77,ACNB
78,ACND
79,ACOR
80,ACQRU
81,ACR
82,ACRE
83,ACRS
84,ACRX
85,ACST
86,ACTC
87,ACTCU
88,ACTCW
89,ACTDU
90,ACTG
91,ACU
92,ACVA
93,ACY
94,ADAG
95,ADAP
96,ADBE
97,ADC
98,ADCT
99,ADER
100,ADERU
101,ADERW
102,ADES
103,ADEX
104,ADI
105,ADIL
106,ADM
107,ADMA
108,ADMP
109,ADMS
110,ADN
111,ADNT
112,ADNWW
113,ADOC
114,ADOCR
115,ADOCW
116,ADP
117,ADPT
118,ADRA
119,ADS
120,ADSK
121,ADT
122,ADTN
123,ADTX
124,ADUS
125,ADV
126,ADVM
127,ADVWW
128,ADXN
129,ADXS
130,AE
131,AEAC
132,AEACU
133,AEACW
134,AEB
135,AEE
136,AEFC
137,AEG
138,AEGN
139,AEHL
140,AEHR
141,AEI
142,AEIS
143,AEL
144,AEM
145,AEMD
146,AENZ
147,AEO
148,AEP
149,AEPPL
150,AEPPZ
151,AER
152,AERI
153,AES
154,AESC
155,AESE
156,AEVA
157,AEY
158,AEYE
159,AEZS
160,AFAQU
161,AFBI
162,AFCG
163,AFG
164,AFGB
165,AFGC
166,AFGD
167,AFGE
168,AFI
169,AFIB
170,AFIN
171,AFINO
172,AFINP
173,AFL
174,AFMD
175,AFRM
176,AFYA
177,AG
178,AGAC
179,AGBA
180,AGBAR
181,AGBAU
182,AGBAW
183,AGC
184,AGCB
185,AGCO
186,AGCUU
187,AGCWW
188,AGE
189,AGEN
190,AGFS
191,AGFY
192,AGGRU
193,AGI
194,AGIO
195,AGLE
196,AGM
197,AGM-A
198,AGMH
199,AGNC
200,AGNCM
201,AGNCN
202,AGNCO
203,AGNCP
204,AGO
205,AGR
206,AGRO
207,AGRX
208,AGS
209,AGTC
210,AGX
211,AGYS
212,AHAC
213,AHACU
214,AHACW
215,AHC
216,AHCO
217,AHH
218,AHPI
219,AHT
220,AI
221,AIC
222,AIG
223,AIH
224,AIHS
225,AIKI
226,AIM
227,AIMC
228,AIN
229,AINC
230,AINV
231,AIO
232,AIR
233,AIRC
234,AIRG
235,AIRI
236,AIRT
237,AIRTP
238,AIRTW
239,AIT
240,AIV
241,AIW
242,AIZ
243,AIZN
244,AJAX
245,AJG
246,AJRD
247,AJX
248,AJXA
249,AKAM
250,AKBA
251,AKER
