PERDI,open,high,low,close,Adj Close,volume,upperband,middleband,lowerband,macd,macdsignal,macdhist,rsi,sma10,sma40
1.61E+12,116.2399979,117.1900024,115.5100021,117.1350021,117.1350021,880979,,,,,,,,,
1.61E+12,117.125,117.5049973,116.5599976,117.3099976,117.3099976,656619,,,,,,,,,
1.61E+12,117.3499985,118.0899963,116.1750031,116.5299988,116.5299988,483819,,,,,,,,,
1.61E+12,116.4899979,116.5250015,114.8600006,115.5199966,115.5199966,538183,,,,,,,,,
1.61E+12,115.5449982,115.7799988,113.9300003,115.6999969,115.6999969,518592,,,,,,,,,
1.61E+12,115.6900024,116.3099976,115.2300034,115.7399979,115.7399979,569620,,,,,,,,,
1.61E+12,115.7399979,116.0449982,115.0299988,115.6299973,115.6299973,838443,,,,,,,,,
1.61E+12,116.9800034,118.6800003,116.6900024,117.7900009,117.7900009,732771,,,,,,,,,
1.61E+12,117.8300018,118.6299973,115.6100006,115.9000015,115.9000015,940651,,,,,,,,,
1.61E+12,115.8600006,117.5849991,115.5199966,117.5500031,117.5500031,559901,,,,,,,,116.4804993,
1.61E+12,117.5049973,118.5199966,117.1500015,118.4300003,118.4300003,711164,,,,,,,,116.6099991,
1.61E+12,118.4199982,118.75,118.1500015,118.4800034,118.4800034,572799,,,,,,,,116.7269997,
1.61E+12,118.5,119.5699997,118.3499985,119.3249969,119.3249969,979145,,,,,,,,117.0064995,
1.61E+12,119.3399963,120.4499969,119.3000031,119.6800003,119.6800003,852147,,,,,,,,117.4224998,
1.62E+12,120.1999969,122.1100006,119.75,122.0500031,122.0500031,1170652,,,,,,,69.66786649,118.0575005,
1.62E+12,122.0599976,122.5999985,121.6800003,122.25,122.25,655767,,,,,,,70.18185373,118.7085007,
1.62E+12,122.2799988,122.2900009,121.3700027,121.9700012,121.9700012,940434,,,,,,,68.43347535,119.3425011,
1.62E+12,121.9649963,123.3600006,121.8700027,123.0699997,123.0699997,717383,,,,,,,71.44328774,119.8705009,
1.62E+12,123.0599976,123.0999985,122.1999969,122.5500031,122.5500031,426910,,,,,,,68.13592411,120.5355011,
1.62E+12,122.5599976,122.7300034,121.8700027,122.2009964,122.2009964,494125,124.0038861,118.7405499,113.4772136,,,,65.92984827,121.0006004,
1.62E+12,122.2200012,122.5500031,121.3799973,121.5,121.5,721867,124.299168,118.9587997,113.6184315,,,,61.61470307,121.3076004,
1.62E+12,122.4000015,123.9349976,122.1999969,123.4300003,123.4300003,924693,124.8861525,119.2647999,113.6434472,,,,67.85316865,121.8026001,
1.62E+12,123.5,124.2182007,123.2149963,123.4300003,123.4300003,584176,125.3628389,119.6098,113.856761,,,,67.85316865,122.2131004,
1.62E+12,123.4199982,123.8000031,122.3000031,123.5250015,123.5250015,493939,125.682538,120.0100502,114.3375624,,,,68.14868493,122.5976006,
1.62E+12,123.5100021,123.7600021,123.2949982,123.4400024,123.4400024,367196,125.8939263,120.3970505,114.9001746,,,,67.55035514,122.7366005,
1.62E+12,123.4599991,123.5800018,123,123.0400009,123.0400009,655803,125.9333322,120.7620506,115.5907691,,,,64.67271597,122.8156006,
1.62E+12,123.0699997,123.25,122.8300018,122.8349991,122.8349991,494406,125.7929389,121.1223007,116.4516625,,,,63.18706211,122.9021004,
1.62E+12,122.8349991,123.0183029,122.4000015,122.5,122.5,817479,125.8020989,121.3578007,116.9135024,,,,60.73187937,122.8451004,
1.62E+12,123.1200027,123.9400024,122.0299988,122.0749969,122.0749969,861830,125.3429401,121.6665504,117.9901608,,,,57.67033041,122.7975998,
1.62E+12,122.0500031,122.8899994,121.8399963,122.6900024,122.6900024,394286,125.097183,121.9235504,118.7499179,,,,60.75349761,122.8465004,
1.62E+12,122.6900024,123.2200012,122.4499969,122.9000015,122.9000015,269802,124.9078198,122.1470505,119.3862811,,,,61.77725526,122.9865005,
1.62E+12,122.9199982,123.2699966,122.6500015,123,123,282341,124.5806737,122.3730503,120.1654269,,,,62.28180932,122.9435005,
